Date,Hardware Identifier,What Failed,Description of Failure,Action Taken
5/25/2005 13:39,node 33,DISK,"I/O Error on Drive SDD",REPLACE,
5/25/2005 16:33,node 244,DISK,"I/O Error on Drive SDI",REPLACE,
5/26/2005 0:12,node 477,UNKNOWN,"30 CMC ERRORS",DIAGNOSTICS,
5/26/2005 4:03,node 16,DIMM,"67 CMC ERRORS",DIAGNOSTICS,
5/26/2005 4:12,node 61,DISK,"I/O Error on Drive SDG",REPLACE,
5/26/2005 21:03,node 423,DIMM,"80 CMC ERRORS ",DIAGNOSTICS,
5/26/2005 21:33,node 592,DISK,"I/O Error on Drive SDB",REPLACE,
5/27/2005 9:27,dtemp storage 01,HSV,"Drive 2/9 Failure ",REPLACE,
5/27/2005 9:27,dtemp storage 01,HSV,"Drive 2/12 Failure ",REPLACE,
5/27/2005 15:27,node 169,DISK,"I/O Error on Drive SDI",REPLACE,
5/27/2005 21:57,node 143,DISK,"I/O Error on Drive SDE",REPLACE,
5/28/2005 3:27,node 57,DISK,"I/O Error on Drive SDC",REPLACE,
5/28/2005 6:12,node 124,DISK,"I/O Error on Drive SDC",REPLACE,
5/29/2005 13:03,node 577,DIMM,"453 CMC ERRORS ",DIAGNOSTICS,
5/29/2005 22:12,node 448,DISK,"I/O Error on Drive SDB",REPLACE,
5/30/2005 3:57,node 332,DISK,"I/O Error on Drive SDH",REPLACE,
5/30/2005 4:48,node 175,DISK,"I/O Error on Drive SDC",REPLACE,
5/30/2005 9:51,node 338,DISK,"I/O Error on Drive SDB",REPLACE,
5/30/2005 10:21,node 191,DISK,"I/O Error on Drive SDE",REPLACE,
5/30/2005 11:12,node 848,DIMM,"12 CMC ERRORS ",DIAGNOSTICS,
5/31/2005 5:33,node 348,DISK,"I/O Error on Drive SDI ",REPLACE,
5/31/2005 8:41,dtemp storage 17,HSV,"Drive 1/5 Failure",REPLACE,
5/31/2005 8:42,node 643,CPU,"LED ERROR: LPK:Turbo Cooler 1 ",REPLACE,
5/31/2005 14:21,node 412,DISK,"I/O Error on Drive SDG",REPLACE,
5/31/2005 18:03,node 271,DIMM,"14 CMC ERRORS",DIAGNOSTICS,
5/31/2005 18:06,node 450,DISK,"I/O Error on Drive SDE",REPLACE,
5/31/2005 23:51,node 754,CPU,"213 CMC ERRORS",REPLACE,
6/1/2005 7:39,node 970,CPU,"LED ERROR: LPK: Turbo Cooler 0 (zero) Fan ",REPLACE,
6/1/2005 10:47,node 562,DISK,"/scratch I/O Error on Drive SDI",REPLACE,
6/1/2005 18:06,node 443,DISK,"I/O Error on Drive SDB",REPLACE,
6/2/2005 18:57,node 170,DISK,"I/O Error on Drive SDF",REPLACE,
6/2/2005 22:51,node 232,DISK,"I/O Error on Drive SDI",REPLACE,
6/2/2005 23:03,node 453,DISK,"I/O Error on Drive SDG",REPLACE,
6/3/2005 0:42,node 879,DISK,"I/O Error on Drive SDA",REPLACE,
6/3/2005 4:12,node 262,DISK,"I/O Error on Drive SDG",REPLACE,
6/3/2005 17:18,node 562,SCSI_BP,"I/O Error on Drive SDI",REPLACE,
6/4/2005 14:57,node 153,DISK,"I/O Error on Drive SDH",REPLACE,
6/4/2005 14:57,node 676,PS,"Node Unresponsive",REPLACE,
6/4/2005 21:12,node 189,DISK,"I/O Error on Drive SDC ",REPLACE,
6/5/2005 7:42,node 157,DISK,"I/O Error on Drive SDH",REPLACE,
6/5/2005 13:06,node 26,DISK,"I/O Error on Drive SDE",REPLACE,
6/6/2005 15:06,test node 6,DISK,"I/O Errors on Drive SDI",REPLACE,
6/6/2005 15:37,node 879,SCSI_BP,"I/O Errors",REPLACE,
6/6/2005 15:51,node 26,CNTLR,"Upper DS2100",REPLACE,
6/6/2005 17:05,node 14,DISK,"I/O Error on Drive SDG",REPLACE,
6/6/2005 20:20,node 528,DIMM,"11 CMC ERRORS",DIAGNOSTICS,
6/6/2005 21:00,node 550,DISK,"I/O Error on Drive SDB",REPLACE,
6/7/2005 10:06,node 562,PLATFORM,"SCSI ISSUES",REPLACE,
6/7/2005 17:00,dtemp storage 20,HSV,"Drive 17/10 Failed",REPLACE,
6/7/2005 23:00,node 348,DIMM,"34 CMC ERRORS",DIAGNOSTICS,
6/8/2005 4:10,node 232,DISK,"I/O Error on Drive SDC",REPLACE,
6/8/2005 14:03,node 259,DIMM,"36 CMC ERRORS ",DIAGNOSTICS,
6/9/2005 1:10,node 571,DIMM,"59 CMC ERRORS",DIAGNOSTICS,
6/9/2005 9:20,node 620,DIMM,"25 CMC ERRORS",DIAGNOSTICS,
6/9/2005 8:20,node 2,DISK,"I/O Error on Drive SDD",REPLACE,
6/9/2005 12:22,node 472,PLATFORM,"SCSI ERRORS",REPLACE,
6/9/2005 16:00,node 51,DISK,"I/O Error on Drive SDE",REPLACE,
6/10/2005 2:55,node 68,DISK,"I/O Error on Drive SDC",REPLACE,
6/10/2005 7:00,node 250,DIMM,"20 CMC ERRORS",DIAGNOSTICS,
6/10/2005 7:12,dtemp storage 09,HSV,"Drive 3/11 Failed",REPLACE,
6/10/2005 11:18,node 173,DISK,"I/O Error on Drive SDH",REPLACE,
6/11/2005 6:45,node 175,DISK,"I/O Error on Drive SDG",REPLACE,
6/11/2005 7:50,node 483,DISK,"I/O Error on Drive SDI",REPLACE,
6/11/2005 15:00,node 284,DIMM,"CMC ERRORS",DIAGNOSTICS,
6/12/2005 19:00,node 379,DISK,"I/O Error on Drive SDH",REPLACE,
6/12/2005 20:30,node 659,DIMM,"CMC ERRORS",DIAGNOSTICS,
6/13/2005 0:15,node 180,DISK,"I/O Error on Drive SDI",REPLACE,
6/13/2005 8:00,node 131,DIMM,"CMC ERRORS",DIAGNOSTICS,
6/13/2005 8:40,node 429,DISK,"I/O Error on Drive SDE",REPLACE,
6/13/2005 10:09,node 963,MISC,"LED ERROR: Battery Voltage Low",REPLACE,
6/14/2005 14:09,dtemp storage 09,HSV,"Drive 3/11 Failed ",REPLACE,
6/14/2005 18:50,node 266,DISK,"I/O Error on Drive SDF",REPLACE,
6/15/2005 5:45,node 285,DISK,"I/O Error on Drive SDC",REPLACE,
6/15/2005 12:21,node 97,DIMM,"182 CMC ERRORS",DIAGNOSTICS,
6/15/2005 12:48,node 42,DISK,"I/O Error on Drive SDF",REPLACE,
6/15/2005 14:42,node 211,DISK,"I/O Error on Drive SDB",REPLACE,
6/15/2005 14:42,node 12,DISK,"I/O Error on Drive SDH",REPLACE,
6/15/2005 18:21,node 324,CPU,"197 CMC ERRORS",REPLACE,
6/15/2005 22:57,node 153,DISK,"I/O Error on Drive SDC",REPLACE,
6/16/2005 2:12,node 605,DIMM,"724 CMC ERRORS",DIAGNOSTICS,
6/16/2005 5:27,node 120,DISK,"I/O Error on Drive SDE",REPLACE,
6/16/2005 7:31,node 896,UNKNOWN,"Run all System Diagnostics and Image Node",REBOOT,
6/16/2005 19:51,node 89,DISK,"I/O Error on Drive SDG",REPLACE,
6/17/2005 11:51,node 563,PLATFORM,"I/O Error on Drive SDI",REPLACE,
6/17/2005 12:03,node 103,DIMM,"165 CMC ERRORS",DIAGNOSTICS,
6/17/2005 15:21,dtemp storage 03,HSV,"Drive 11/10 Failed",REPLACE,
6/17/2005 18:48,node 213,DISK,"I/O Error on Drive SDE",REPLACE,
6/18/2005 21:21,node 469,DIMM,"24 CMC ERRORS",DIAGNOSTICS,
6/18/2005 23:03,node 497,DISK,"I/O Error on Drive SDI",REPLACE,
6/19/2005 0:51,node 698,CPU,"100 CMC ERRORS",REPLACE,
6/19/2005 6:36,node 495,DISK,"I/O Error on Drive SDH",REPLACE,
6/19/2005 19:03,node 935,DISK,"I/O Error on Drive SDI",REPLACE,
6/20/2005 9:51,node 554,DISK,"I/O Error on Drive SDG",REPLACE,
6/22/2005 2:35,node 533,DISK,"I/O Error on Drive SDI",REPLACE,
6/22/2005 14:48,node 74,DISK,"I/O Error on Drive SDH",REPLACE,
6/22/2005 15:27,node 384,DISK,"I/O Error on Drive SDG",REPLACE,
6/23/2005 3:42,node 10,DIMM,"30 CMC ERRORS",DIAGNOSTICS,
6/23/2005 7:21,node 319,DISK,"I/O Error on Drive SDD",REPLACE,
6/22/2005 16:23,dtemp storage 11,HSV,"Controller B ",REPLACE,
6/23/2005 16:12,dtemp storage 19,HSV,"Controller A",UPDATE_FW,
6/23/2005 16:13,dtemp storage 24,HSV,"Controller B",UPDATE_FW,
6/24/2005 0:42,node 607,DIMM,"13 CMC ERRORS",REPLACE,
6/24/2005 5:51,node 901,CPU,"469 CMC ERRORS",REPLACE,
6/24/2005 9:15,node 890,CPU,"LED ERROR: Turbo Cooler #1 ",REPLACE,
6/24/2005 10:42,node 90,DISK,"I/O Error on Drive SDF",REPLACE,
6/24/2005 11:12,node 716,DISK,"I/O Error on Drive SDB",REPLACE,
6/24/2005 15:21,node 361,DIMM,"168 CMC ERRORS",DIAGNOSTICS,
6/25/2005 1:03,node 9,CPU,"101 CMC ERRORS",REPLACE,
6/26/2005 10:36,node 36,DISK,"I/O Error on Drive SDE",REPLACE,
6/26/2005 16:57,node 263,DISK,"I/O Error on Drive SDG",REPLACE,
6/26/2005 18:06,node 894,DISK,"I/O Error on Drive SDA",REPLACE,
6/27/2005 16:35,node 7,DISK,"I/O Error on Drive SDD",REPLACE,
6/27/2005 17:40,node 84,DIMM,"12 CMC ERRORS",DIAGNOSTICS,
6/27/2005 18:00,node 233,DIMM,"158 CMC ERRORS",DIAGNOSTICS,
6/28/2005 2:35,node 119,DISK,"I/O Error on Drive SDE",REPLACE,
6/28/2005 2:35,node 168,DISK,"I/O Error on Drive SDF",REPLACE,
6/28/2005 7:38,node 248,CPU,"LED ERROR: Turbo Cooler 0 (zero) ",REPLACE,
6/28/2005 7:39,dtemp storage 03,HSV,"Drive 11/1 Failure",REPLACE,
6/28/2005 7:39,home storage 6,HSV,"Drive 8/4 Failure",REPLACE,
6/28/2005 9:48,node 414,DISK,"I/O Error on Drive SDG",REPLACE,
6/28/2005 10:58,node 172,ELAN4,"ECC ERROR 		",REPLACE,
6/28/2005 10:58,node 882,ELAN4,"ECC ERROR ",REPLACE,
6/29/2005 1:42,node 933,DISK,"I/O Error on Drive SDH",REPLACE,
6/29/2005 5:12,node 179,DIMM,"13 CMC ERRORS",DIAGNOSTICS,
6/29/2005 8:21,node 450,DISK,"I/O Error on Drive SDG",REPLACE,
6/21/2005 15:33,node 224,DISK,"I/O Error on Drive SDG *Lost Data Input* ",REPLACE,
6/29/2005 13:40,node 310,DISK,"I/O Error on Drive SDG",REPLACE,
6/29/2005 19:51,node 47,DISK,"I/O Error on Drive SDI",REPLACE,
6/29/2005 22:21,node 387,DISK,"I/O Error on Drive SDI",REPLACE,
6/30/2005 9:18,node 396,DISK,"I/O Error on Drive SDC",REPLACE,
6/30/2005 22:42,node 668,DIMM,"793 CMC ERRORS Reported",DIAGNOSTICS,
6/30/2005 23:33,node 189,DISK,"I/O Error on Drive SDB",REPLACE,
7/1/2005 7:57,node 28,CPU,"LED ERROR: Turbo Cooler 1 ",REPLACE,
7/1/2005 9:51,node 147,DISK,"I/O Error on Drive SDG",REPLACE,
7/1/2005 10:33,node 254,DIMM,"12 CMC ERRORS",DIAGNOSTICS,
7/2/2005 16:57,node 373,DISK,"I/O Error on Drive SDH",REPLACE,
7/3/2005 0:03,node 796,DISK,"SCSI BUS",REPLACE,
7/3/2005 0:57,node 284,DISK,"I/O Error on Drive SDD",REPLACE,
7/3/2005 20:21,node 92,DISK,"I/O Error on Drive SDH",REPLACE,
7/4/2005 4:48,node 192,DISK,"I/O Error on Drive SDI",REPLACE,
7/4/2005 11:33,node 41,DIMM,"22 CMC ERRORS ",DIAGNOSTICS,
7/5/2005 3:06,node 398,DISK,"I/O Error on Drive SDC",REPLACE,
7/5/2005 8:08,node 951,CONSOLE,"LED ERROR: System Firmware Hang",REBOOT,
7/5/2005 8:11,dtemp storage 04,HSV,"Drive 15/11 Reported Failure",REPLACE,
7/5/2005 10:30,node 455,DISK,"I/O Error on Drive SDG",REPLACE,
7/5/2005 17:06,node 442,DISK,"I/O Error on Drive SDH",REPLACE,
7/5/2005 21:06,node 362,DISK,"I/O Error on Drive SDF",REPLACE,
7/6/2005 6:51,node 653,DIMM,"814 CMC ERRORS ",DIAGNOSTICS,
7/6/2005 7:51,dtemp storage 04,HSV,"Drive 17/2 Showing Failure",REPLACE,
7/6/2005 16:06,node 17,DISK,"I/O Error on Drive SDI",REPLACE,
7/6/2005 17:42,node 800,DIMM,"47 CMC ERRORS",DIAGNOSTICS,
7/6/2005 17:51,node 346,DIMM,"101 CMC ERRORS ",DIAGNOSTICS,
7/6/2005 21:18,node 347,DISK,"I/O Error on Drive SDI",REPLACE,
7/6/2005 22:48,node 329,DISK,"I/O Error on Drive SDH",REPLACE,
7/7/2005 6:42,node 98,DISK,"I/O Error on Drive SDF",REPLACE,
7/7/2005 20:51,node 329,DISK,"I/O Error on Drive SDC",REPLACE,
7/8/2005 1:42,node 513,DISK,"I/O Error on Drive SDG",REPLACE,
7/8/2005 23:33,node 507,DIMM,"12 CMC ERRORS",DIAGNOSTICS,
7/9/2005 6:48,node 398,DISK,"I/O Error on Drive SDI",REPLACE,
7/9/2005 7:33,node 529,DISK,"I/O Error on Drive SDG",REPLACE,
7/9/2005 8:21,node 391,DIMM,"18 CMC ERRORS",DIAGNOSTICS,
7/9/2005 12:48,node 212,DISK,"I/O Error on Drive SDF",REPLACE,
7/9/2005 15:33,node 206,DISK,"I/O Error on Drive SDC",REPLACE,
7/11/2005 8:03,node 314,DISK,"I/O Error on Drive SDB",REPLACE,
7/10/2005 3:33,node 782,UNKNOWN,"83 CMC ERRORS",DIAGNOSTICS,
7/10/2005 10:36,node 337,DISK,"I/O Error on Drive SDB",REPLACE,
7/10/2005 22:21,node 524,DISK,"I/O Error on Drive SDA",REPLACE,
7/11/2005 1:42,node 510,CPU,"171 CMC ERRORS",REPLACE,
7/11/2005 1:51,node 490,DISK,"I/O Error on Drive SDB",REPLACE,
7/11/2005 12:03,dtemp storage 04,HSV,"Drive 17/12 Shows Failure",REPLACE,
7/11/2005 10:51,node 450,DIMM,"28 CMC ERRORS",DIAGNOSTICS,
7/11/2005 21:36,node 637,DISK,"I/O Error on Drive SDA",REPLACE,
7/11/2005 21:42,node 362,DISK,"I/O Error on Drive SDI",PENDING,
7/8/2005 17:31,node 182,DISK,"I/O Error on Drive SDB  *Outage* ",REPLACE,
7/12/2005 7:32,node 54,MISC,"LED ERROR: Battery Voltage Low",REPLACE,
7/12/2005 13:03,node 637,SCSI_BP,"I/O Error on Drive SDB",REPLACE,
7/13/2005 4:06,node 104,DISK,"I/O Error on Drive SDC",REPLACE,
7/13/2005 8:06,node 415,DISK,"I/O Error on Drive SDE",REPLACE,
7/13/2005 21:57,node 291,CABLE,"I/O Error on Drive SDD / Across SCSI BUS ",REPLACE,
7/14/2005 4:36,node 279,DISK,"I/O Error on Drive SDH",REPLACE,
7/14/2005 7:33,node 106,DIMM,"98 CMC ERRORS",DIAGNOSTICS,
7/14/2005 11:21,node 259,DIMM,"33 CMC ERRORS ",DIAGNOSTICS,
7/14/2005 12:03,node 637,PLATFORM,"I/O Error Across Bus (system board replacement)",REPLACE,
7/14/2005 13:04,node 329,CNTLR,"SCSI ERRORS ",REPLACE,
7/14/2005 19:57,node 0,DISK,"I/O Error on Drive SDI",REPLACE,
7/14/2005 20:33,node 21,DISK,"I/O Error on Drive SDH",REPLACE,
7/15/2005 0:42,node 111,DISK,"I/O Error on Drive SDG",REPLACE,
7/15/2005 4:36,node 155,DISK,"I/O Error on Drive SDG",REPLACE,
7/16/2005 19:42,node 131,DISK,"I/O Error on Drive SDG",REPLACE,
7/16/2005 22:12,node 362,DIMM,"18 CMC ERRORS",DIAGNOSTICS,
7/17/2005 2:06,node 320,CABLE,"SCSI CHAIN (Upper DS2100) ",REPLACE,
7/17/2005 9:06,node 70,DISK,"I/O Error on Drive SDH",REPLACE,
7/17/2005 12:51,node 118,DISK,"I/O Error on Drive SDG",REPLACE,
7/17/2005 15:33,node 715,DIMM,"37 CMC ERRORS",DIAGNOSTICS,
7/17/2005 16:21,node 232,DISK,"I/O Error on Drive SDG",REPLACE,
7/17/2005 17:03,node 933,DISK,"I/O Error on Drive SDB",REPLACE,
7/17/2005 20:27,node 460,DISK,"I/O Error on Drive SDB",REPLACE,
7/18/2005 7:42,node 640,DIMM,"621 CMC ERRORS",DIAGNOSTICS,
7/18/2005 9:03,dtemp storage 24,HSV,"Drive 2/11 Showing Failure",REPLACE,
7/18/2005 18:36,node 103,DISK,"I/O Error on Drive SDE",REPLACE,
7/18/2005 20:42,node 645,DIMM,"21 CMC ERRORS",DIAGNOSTICS,
7/19/2005 20:30,node 934,CPU,"170 CMC ERRORS ",REPLACE,
7/20/2005 15:27,node 312,CABLE,"I/O Error on SDE/SDF",REPLACE,
7/20/2005 15:55,home storage 7,HSV,"Fan on Shelf 10 ",REPLACE,
7/21/2005 9:27,node 431,DISK,"I/O Error on Drive SDF",REPLACE,
7/22/2005 7:45,node 319,CABLE,"I/O Error on Drive SDE/SDF",REPLACE,
7/22/2005 8:00,node 547,CPU,"13 CMC ERRORS",REPLACE,
7/22/2005 12:40,node 357,DIMM,"31 CMC ERRORS",DIAGNOSTICS,
7/23/2005 5:42,node 311,DISK,"I/O Error on Drive SDB",REPLACE,
7/23/2005 11:33,node 83,DIMM,"27 CMC ERRORS",DIAGNOSTICS,
7/23/2005 21:42,node 215,CPU,"97 CMC ERRORS",REPLACE,
7/23/2005 22:51,node 20,DIMM,"24 CMC ERRORS",DIAGNOSTICS,
7/24/2005 3:12,node 842,DIMM,"31 CMC ERRORS",DIAGNOSTICS,
7/24/2005 12:18,node 123,DISK,"I/O Error on Drive SDF",REPLACE,
7/24/2005 20:03,node 295,DIMM,"16 CMC ERRORS",DIAGNOSTICS,
7/24/2005 20:36,node 5,DISK,"I/O Error on Drive SDF",REPLACE,
7/25/2005 12:55,node 94,DISK,"I/O Error on Drive SDH",REPLACE,
7/25/2005 14:10,node 190,DIMM,"332 CMC ERRORS ",DIAGNOSTICS,
7/25/2005 14:42,node 931,CPU,"78 CMC ERRORS ",REPLACE,
7/25/2005 12:51,node 94,DISK,"I/O Error on Drive SDH",REPLACE,
7/25/2005 19:51,node 490,CPU,"19 CMC ERRORS ",REPLACE,
7/25/2005 19:57,node 10,DISK,"I/O Error on Drive SDE",REPLACE,
7/26/2005 10:33,node 75,DIMM,"25 CMC ERRORS",DIAGNOSTICS,
7/26/2005 12:33,node 60,DIMM,"22 CMC ERRORS",DIAGNOSTICS,
7/26/2005 13:06,node 718,DISK,"SCSI Errors ",RESEAT,
7/27/2005 1:36,node 443,DISK,"I/O Error on Drive SDI",REPLACE,
7/27/2005 7:40,dtemp storage 04,HSV,"Drive 17/1 Shows Failure ",REPLACE,
7/27/2005 8:48,node 542,CNTLR,"I/O Error on Drive SDD",REPLACE,
7/27/2005 13:21,node 382,DISK,"I/O Error on Drive SDC",REPLACE,
7/27/2005 14:21,node 196,DISK,"I/O Error on Drive SDG",REPLACE,
7/28/2005 22:18,node 409,DISK,"I/O Error on Drive SDH",REPLACE,
7/29/2005 14:18,node 376,DISK,"I/O Error on Drive SDH",REPLACE,
7/29/2005 17:03,node 64,DISK,"I/O Error on Drive SDB",REPLACE,
7/29/2005 17:03,node 372,DISK,"I/O Error on Drive SDH",REPLACE,
7/29/2005 17:03,node 432,DISK,"I/O Error on Drive SDG",REPLACE,
7/30/2005 21:51,node 480,DISK,"I/O Error on Drive SDI",PENDING,
7/31/2005 13:51,node 554,CPU,"CMC ERRORS ",REPLACE,
7/31/2005 19:21,node 577,DIMM,"CMC ERRORS",DIAGNOSTICS,
8/1/2005 5:42,node 816,DIMM,"CMC ERRORS ",REPLACE,
8/1/2005 7:47,dtemp storage 04,HSV,"Failure showing on Drive 17/10 ",REPLACE,
8/1/2005 8:03,node 330,DISK,"I/O Error on Drive SDE",REPLACE,
8/1/2005 8:04,node 485,DISK,"I/O Error on Drive SDG",REPLACE,
8/1/2005 10:21,node 400,DIMM,"CMC ERRORS",DIAGNOSTICS,
8/1/2005 13:35,node 564,DISK,"I/O Error on Drive SDE",REPLACE,
8/1/2005 20:25,node 86,DISK,"I/O Error on Drive SDI",REPLACE,
8/2/2005 3:20,node 446,DISK,"I/O Error on Drive SDH",REPLACE,
8/2/2005 11:14,node 290,DIMM,"Possible MEMORY Issue ",DIAGNOSTICS,
8/3/2005 1:33,node 446,SCSI_BP,"I/O Error on Drive SDG",REPLACE,
8/3/2005 13:18,node 260,CABLE,"I/O Error on Drive SDB",REPLACE,
8/3/2005 14:33,node 327,UNKNOWN,"13 CMC ERRORS",DIAGNOSTICS,
8/3/2005 19:03,node 446,PLATFORM,"I/O Error on Drive ",REPLACE,
8/3/2005 19:12,node 251,DISK,"I/O Error on Drive SDE",REPLACE,
8/3/2005 20:33,node 759,CPU,"14 CMC ERRORS",DIAGNOSTICS,
8/4/2005 1:18,node 105,DISK,"I/O Error on Drive SDG",REPLACE,
8/4/2005 7:03,node 358,CPU,"168 CMC ERRORS",REPLACE,
8/4/2005 7:06,node 23,DISK,"I/O Error on Drive SDB",REPLACE,
8/4/2005 11:03,node 113,DISK,"I/O Error on Drive SDF",REPLACE,
8/4/2005 11:21,node 829,DIMM,"15 CMC ERRORS",DIAGNOSTICS,
8/4/2005 13:33,node 201,DISK,"I/O Error on Drive SDH",REPLACE,
8/4/2005 17:33,node 185,DISK,"I/O Error on Drive SDB",REPLACE,
8/4/2005 17:57,node 426,DISK,"I/O Error on Drive SDE",REPLACE,
8/4/2005 17:58,test node 6,PLATFORM,"SCSI ERRORS ",REPLACE,
8/5/2005 7:36,node 11,DISK,"I/O Error on Drive SDE",REPLACE,
8/5/2005 8:27,node 326,CPU,"I/O Errors on Drive SDD / CMC ERRORS",REPLACE,
8/5/2005 19:03,node 88,DIMM,"22 CMC ERRORS",DIAGNOSTICS,
8/6/2005 0:27,node 466,DISK,"I/O Error on Drive SDF",REPLACE,
8/6/2005 5:12,node 328,DIMM,"18 CMC ERRORS",DIAGNOSTICS,
8/7/2005 0:03,node 12,DIMM,"15 CMC ERRORS",DIAGNOSTICS,
8/7/2005 0:33,node 64,DISK,"I/O Error on Drive SDF",REPLACE,
8/7/2005 0:57,node 185,CNTLR,"I/O Error on Drive SDB",REPLACE,
8/7/2005 6:42,node 310,CPU,"13 CMC ERRORS",DIAGNOSTICS,
8/7/2005 7:51,node 295,DIMM,"12 CMC ERRORS",DIAGNOSTICS,
8/8/2005 16:06,node 542,CABLE,"I/O Error on Drive SDB",REPLACE,
8/8/2005 16:12,node 957,CPU,"15 CMC ERRORS",REPLACE,
8/8/2005 19:33,node 866,DIMM,"14 CMC ERRORS",DIAGNOSTICS,
8/9/2005 0:12,node 476,CPU,"85 CMC ERRORS",REPLACE,
8/9/2005 14:18,node 25,DISK,"I/O Error on Drive SDH ",REPLACE,
8/9/2005 14:51,node 542,DISK,"I/O Error on Drive SDA",REPLACE,
8/9/2005 22:12,node 414,DISK,"I/O Error on Drive SDH",REPLACE,
8/10/2005 16:48,node 542,CNTLR,"I/O Error on Drive(s) SDA, SDB",REPLACE,
8/11/2005 11:52,dtemp storage 04,HSV,"Drive 17/11 Log Failures ",REPLACE,
8/11/2005 12:03,node 971,UNKNOWN,"98 CMC ERRORS ",DIAGNOSTICS,
8/11/2005 14:48,dtemp storage 18,HSV,"Drive 5/4 Failure",REPLACE,
8/11/2005 16:21,node 304,CPU,"15 CMC ERRORS",REPLACE,
8/12/2005 6:21,node 835,DIMM,"11 CMC ERRORS",DIAGNOSTICS,
8/12/2005 8:27,node 233,DISK,"I/O Error on Drive SDC",REPLACE,
8/12/2005 13:21,node 772,CPU,"75 CMC ERRORS ",REPLACE,
8/12/2005 13:30,node 132,PLATFORM,"Node Lost is MAC Address ",REPLACE,
8/12/2005 15:55,node 514,MISC,"Node Won't POST",REPLACE,
8/13/2005 4:20,dtemp storage 04,HSV,"Drive 17/2 Failed ",REPLACE,
8/13/2005 13:03,node 483,DISK,"I/O Error on Drive SDI",REPLACE,
8/13/2005 13:12,node 44,DISK,"I/O Error on Drive SDF",REPLACE,
8/13/2005 13:12,node 88,DISK,"I/O Error on Drive SDE",REPLACE,
8/13/2005 13:12,node 28,DISK,"I/O Error on Drive SDG. SDI",REPLACE,
8/13/2005 16:12,node 420,DISK,"I/O Error on Drive SDH",REPLACE,
8/13/2005 20:42,node 215,DISK,"I/O Error on Drive SDI",REPLACE,
8/13/2005 21:57,node 239,DISK,"I/O Error on Drive SDB",REPLACE,
8/14/2005 5:18,node 67,DISK,"I/O Error on Drive SDF",REPLACE,
8/14/2005 21:21,node 107,DISK,"I/O Error on Drive SDE",REPLACE,
8/15/2005 3:57,node 195,DISK,"I/O Error on Drive SDI",REPLACE,
8/15/2005 4:51,node 166,DISK,"I/O Error on Drive SDC",REPLACE,
8/15/2005 9:36,node 131,DISK,"I/O Error on Drive SDI",REPLACE,
8/15/2005 10:21,node 133,DISK,"I/O Error on Drive SDH",REPLACE,
8/15/2005 13:04,home storage 4,HSV,"FAN Blower 1/B Failure",REPLACE,
8/15/2005 21:51,node 450,DIMM,"154 CMC ERRORS ",REPLACE,
8/16/2005 0:03,node 368,DISK,"I/O Error on Drive SDC",REPLACE,
8/16/2005 6:51,node 641,DIMM,"200 CMC ERRORS ",DIAGNOSTICS,
8/16/2005 21:48,node 221,DISK,"I/O Error on Drive SDI",REPLACE,
8/17/2005 1:21,node 215,DISK,"I/O Error on Drive SDH",REPLACE,
8/17/2005 5:06,node 4,DISK,"I/O Error on Drive SDB",REPLACE,
8/17/2005 8:27,node 263,DISK,"I/O Error on Drive SDB",REPLACE,
8/17/2005 10:03,node 393,DIMM,"16 CMC ERRORS ",DIAGNOSTICS,
8/17/2005 20:48,node 836,DISK,"I/O Error on Drive SDA",REPLACE,
8/18/2005 8:21,node 691,DIMM,"19 CMC ERRORS",DIAGNOSTICS,
8/18/2005 15:06,node 421,DISK,"I/O Error on Drive SDH",REPLACE,
8/18/2005 18:51,node 344,DIMM,"23 CMC ERRORS",DIAGNOSTICS,
8/18/2005 20:48,node 245,DISK,"I/O Error on Drive SDB",REPLACE,
8/19/2005 0:42,node 550,DISK,"Host Unreachable",REPLACE,
8/20/2005 22:33,node 641,DISK,"225 CMC ERRORS",DIAGNOSTICS,
8/21/2005 7:27,node 435,DISK,"I/O Error on Drive SDG",REPLACE,
8/21/2005 11:57,node 374,DISK,"I/O Error on Drive SDB",REPLACE,
8/21/2005 12:21,node 365,DISK,"I/O Error on Drive SDF ",REPLACE,
8/21/2005 19:42,node 78,DISK,"I/O Error on Drive SDG",REPLACE,
8/22/2005 4:36,node 518,DISK,"I/O Error on Drive SDG",REPLACE,
8/22/2005 13:27,node 550,PLATFORM,"SCSI Errors  System Board Replacement",REPLACE,
8/22/2005 19:42,node 438,DISK,"I/O Error on Drive SDI",REPLACE,
8/23/2005 3:33,node 557,DISK,"I/O Error on Drive SDH",PENDING,
8/23/2005 4:03,node 972,UNKNOWN,"72 CMC ERRORS ",PENDING,
8/23/2005 9:56,node 628,DIMM,"MCA ERRORS",REPLACE,
8/23/2005 13:03,node 178,DIMM,"26 CMC ERRORS",DIAGNOSTICS,
8/23/2005 14:42,node 520,DISK,"I/O Error on Drive SDI",REPLACE,
8/23/2005 18:12,node 314,DISK,"I/O Error on Drive SDI",REPLACE,
8/24/2005 15:24,dtemp storage 16,HSV,"Drive 11/6 Showing Failure",REPLACE,
8/24/2005 15:25,dtemp storage 18,HSV,"Drive 5/4 Showing Failure",REPLACE,
8/24/2005 15:26,dtemp storage 19,HSV,"Drive 10/11 Showing Failure",REPLACE,
